nickname,position,tier,image
이 궤,ADC,MASTER,nilha.png
사 라,ADC,DIAMOND,mi.png
유나라,ADC,MASTER,uu.png
이 브,MID,EMERALD,lblang.png
MU지개반사,SUP,EMERALD,ruru.png
퍼석얼음,SUP,EMERALD,lux.png
늙고 병든 탑,TOP,MASTER,ppopy.png
Reze,JUG,MASTER,bad.png
오픈마인드로해결,TOP,MASTER,atrox.png
준혁이애오,SUP,MASTER,thrash.png
혜 성,TOP,DIAMOND,malpa.png
솔 랭,TOP,DIAMOND,acaly.png
싶 오,MID,DIAMOND,zeras.png
구 혁,JUG,EMERALD,ivlin.png
쁜 쁜,ADC,EMERALD,smolder.png
챌 몽,SUP,EMERALD,morgana.png
현쥬공쥬,TOP,EMERALD,renex.png
널 생각하는,MID,PLATINUM,bra.png
매 화,MID,EMERALD,gay.png
ONE Rad,JUG,EMERALD,lee.png
Jordy,MID,PLATINUM,ze.png
2 지,MID,GOLD,be.png
채집당함,JUG,GOLD,bi.png
카이가,ADC,GOLD,ka.png
하찍찍,ADC,PLATINUM,jinx.png
